acc,start,end,label
DP04016,1,635,disordered
DP04017,1,554,disordered
DP04018,1,225,disordered
DP04019,1,109,disordered
DP04020,1,222,disordered
DP04022,1,14,disordered
DP04022,15,116,structured
DP04022,117,130,disordered
DP04022,131,236,structured
DP04023,10,25,disordered
DP04023,26,197,structured
DP04023,198,227,disordered
DP04024,71,134,disordered
DP04026,1,11,disordered
DP04026,12,202,structured
DP04026,206,333,structured
DP04027,1,10,disordered
DP04027,11,332,structured
DP04028,19,164,structured
DP04028,165,184,disordered
DP04028,185,193,structured
DP04028,194,203,disordered
DP04028,204,224,structured
DP04028,225,255,disordered
DP04029,1,42,disordered
DP04029,43,102,structured
DP04029,116,139,structured
DP04029,147,409,structured
DP04029,410,420,disordered
DP04030,25,108,structured
DP04030,233,248,disordered
DP04030,249,458,structured
DP04030,464,541,structured
DP04030,542,560,disordered
DP04030,561,590,structured
DP04032,40,161,structured
DP04032,170,175,structured
DP04032,181,235,structured
DP04032,236,268,disordered
DP04032,269,382,structured
DP04032,383,450,disordered
DP04032,451,484,structured
DP04032,485,518,disordered
DP04033,1,52,disordered
DP04033,64,87,structured
DP04033,132,179,structured
DP04035,5,69,structured
DP04035,70,82,disordered
DP04035,83,398,structured
DP04036,2,46,structured
DP04036,52,91,structured
DP04036,92,105,disordered
DP04036,106,150,structured
DP04036,157,226,structured
DP04036,227,236,disordered
DP04036,237,263,structured
DP04036,269,300,structured
DP04036,301,312,disordered
DP04038,4,67,structured
DP04038,68,80,disordered
DP04038,81,410,structured
DP04040,4,178,structured
DP04040,179,188,disordered
DP04042,17,27,disordered
DP04042,28,262,structured
DP04042,320,456,structured
DP04044,108,260,structured
DP04044,261,272,disordered
DP04044,273,350,structured
DP04044,351,387,disordered
DP04044,388,442,structured
DP04045,104,350,structured
DP04045,351,387,disordered
DP04045,388,442,structured
DP04046,60,81,structured
DP04046,82,97,disordered
DP04046,98,143,structured
DP04046,152,239,structured
DP04051,161,179,structured
DP04051,186,374,structured
DP04051,375,389,disordered
DP04051,390,457,structured
DP04052,23,38,structured
DP04052,43,57,structured
DP04052,59,68,structured
DP04052,70,78,structured
DP04052,81,86,structured
DP04052,93,173,structured
DP04052,175,192,structured
DP04052,194,198,structured
DP04052,204,245,structured
DP04052,255,305,structured
DP04052,315,345,structured
DP04052,424,439,structured
DP04052,553,687,structured
DP04052,694,699,structured
DP04052,702,732,structured
DP04052,743,787,structured
DP04052,796,856,structured
DP04052,862,920,structured
DP04052,933,980,structured
DP04052,990,1043,structured
DP04052,1083,1119,structured
DP04052,1128,1153,structured
DP04052,1160,1199,structured
DP04052,1255,1268,structured
DP04052,1290,1308,structured
DP04052,1332,1355,structured
DP04052,1363,1375,structured
DP04052,1395,1420,structured
DP04052,1440,1471,structured
DP04052,1477,1514,structured
DP04052,1533,1550,structured
DP04052,1574,1594,structured
DP04052,1600,1729,structured
DP04052,1741,1818,structured
DP04052,1829,1916,structured
DP04052,1948,1977,structured
DP04052,2333,2349,disordered
DP04052,2350,2539,structured
DP04052,2547,2634,structured
DP04055,33,232,structured
DP04055,233,242,disordered
DP04055,243,386,structured
DP04056,18,221,structured
DP04056,222,231,disordered
DP04056,232,291,structured
DP04056,292,378,disordered
DP04057,254,389,structured
DP04057,390,413,disordered
DP04057,414,424,structured
DP04058,4,177,structured
DP04058,178,199,disordered
DP04059,18,215,structured
DP04059,216,233,disordered
DP04059,234,278,structured
DP04059,282,328,structured
DP04059,335,373,structured
DP04060,5,55,structured
DP04060,56,65,disordered
DP04060,66,136,structured
DP04060,145,175,structured
DP04062,1,194,structured
DP04062,323,694,structured
DP04062,716,879,structured
DP04062,1001,1317,structured
DP04062,1324,1396,structured
DP04062,1479,1485,structured
DP04062,1486,1499,disordered
DP04062,1500,1507,structured
DP04063,23,42,disordered
DP04063,43,378,structured
DP04063,379,395,disordered
DP04063,396,484,structured
DP04063,487,523,structured
DP04063,524,546,disordered
DP04063,547,565,structured
DP04063,566,575,disordered
DP04064,548,562,disordered
DP04065,1,78,disordered
DP04065,79,93,structured
DP04065,100,341,structured
DP04065,342,352,disordered
DP04065,353,442,structured
DP04065,449,506,structured
DP04065,513,541,structured
DP04066,3,63,structured
DP04066,71,100,structured
DP04066,101,110,disordered
DP04066,111,268,structured
DP04066,271,292,structured
DP04068,1,12,disordered
DP04068,13,35,structured
DP04068,36,67,disordered
DP04068,68,230,structured
DP04068,231,245,disordered
DP04072,79,88,disordered
DP04073,1,70,structured
DP04073,72,203,structured
DP04073,204,215,disordered
DP04073,216,228,structured
DP04073,229,245,disordered
DP04084,1,13,disordered
DP04084,14,81,structured
DP04084,82,96,disordered
DP04084,98,108,structured
DP04084,121,203,structured
DP04084,206,414,structured
DP04084,420,500,structured
DP04087,21,38,disordered
DP04087,39,1089,structured
DP04089,1,340,structured
DP04089,341,368,disordered
DP04089,369,436,structured
DP04090,23,39,disordered
DP04090,40,144,structured
DP04090,145,158,disordered
DP04090,260,305,structured
DP04090,309,337,structured
DP04090,745,833,structured
DP04091,26,129,structured
DP04091,130,145,disordered
DP04091,146,258,structured
DP04092,25,204,structured
DP04092,205,222,disordered
DP04092,223,355,structured
DP04092,356,393,disordered
DP04092,394,458,structured
DP04096,744,908,structured
DP04096,909,935,disordered
DP04096,936,1041,structured
DP04096,1318,1382,structured
DP04096,1443,1507,structured
DP04097,8,41,disordered
DP04097,42,59,structured
DP04102,1,15,disordered
DP04102,16,182,structured
DP04102,189,240,structured
DP04103,2,152,structured
DP04103,153,171,disordered
DP04110,1,29,disordered
DP04110,30,246,structured
DP04110,247,263,disordered
DP04118,10,31,disordered
DP04118,32,97,structured
DP04118,98,121,disordered
DP04118,122,166,structured
DP04122,1,240,structured
DP04122,241,260,disordered
DP04125,1,86,structured
DP04125,87,114,disordered
DP04126,30,205,structured
DP04126,210,661,structured
DP04126,662,673,disordered
DP04126,674,736,structured
DP04127,1,19,disordered
DP04127,20,46,structured
DP04127,47,56,disordered
DP04127,57,114,structured
DP04127,115,128,disordered
DP04127,129,140,structured
DP04127,141,158,disordered
DP04127,159,175,structured
DP04128,1,43,disordered
DP04130,1,25,disordered
DP04130,26,108,structured
DP04131,1,76,structured
DP04131,116,133,disordered
DP04131,134,191,structured
DP04131,192,212,disordered
DP04131,231,360,structured
DP04132,17,130,structured
DP04132,131,174,disordered
DP04132,175,188,structured
DP04132,189,206,disordered
DP04133,19,41,disordered
DP04133,42,99,structured
DP04133,100,109,disordered
DP04133,110,182,structured
DP04133,183,242,disordered
DP04133,243,317,structured
DP04134,1,113,disordered
DP04139,1,1016,disordered
DP04139,1017,1119,structured
DP04139,1124,1611,disordered
DP04139,1639,1746,structured
DP04139,1802,1862,structured
DP04139,1954,2025,structured
DP04139,2047,2210,structured
DP04139,2225,2285,structured
DP04140,179,291,structured
DP04140,294,365,structured
DP04140,420,451,disordered
DP04140,452,557,structured
DP04141,1,124,disordered
DP04142,167,569,structured
DP04142,570,632,disordered
DP04144,80,142,disordered
DP04144,143,421,structured
DP04145,34,53,structured
DP04145,81,142,disordered
DP04145,143,422,structured
DP04147,1,503,disordered
DP04148,1,162,disordered
DP04149,1,88,disordered
DP04149,89,408,structured
DP04149,409,418,disordered
DP04149,419,560,structured
DP04149,561,572,disordered
DP04149,573,644,structured
DP04149,645,753,disordered
DP04149,764,845,structured
DP04149,846,898,disordered
DP04151,162,268,disordered
DP04152,1,78,structured
DP04152,86,143,structured
DP04152,152,162,structured
DP04152,163,317,disordered
DP04153,210,449,disordered
DP04154,156,335,disordered
DP04155,391,597,structured
DP04155,612,687,disordered
DP04155,780,886,structured
DP04155,925,952,structured
DP04155,961,971,structured
DP04155,1000,1028,structured
DP04156,2,58,structured
DP04156,92,162,structured
DP04156,163,263,disordered
DP04156,264,333,structured
DP04156,594,665,structured
DP04157,74,358,structured
DP04157,495,561,structured
DP04157,562,597,disordered
DP04157,598,725,structured
DP04158,791,850,structured
DP04158,851,867,disordered
DP04158,868,930,structured
DP04158,1228,1292,structured
DP04159,1,55,disordered
DP04159,77,105,disordered
DP04160,215,295,structured
DP04160,296,315,disordered
DP04161,1,80,disordered
DP04161,198,233,disordered
DP04161,388,550,disordered
DP04162,498,599,structured
DP04162,886,1103,disordered
DP04163,349,393,disordered
DP04164,396,564,disordered
DP04164,565,614,structured
DP04165,147,166,disordered
DP04166,2,273,structured
DP04166,275,324,structured
DP04166,325,338,disordered
DP04166,339,376,structured
DP04167,1,25,disordered
DP04167,26,61,structured
DP04167,62,84,disordered
DP04167,85,269,structured
DP04167,270,355,disordered
DP04169,1,41,disordered
DP04169,42,173,structured
DP04169,205,271,structured
DP04169,301,377,structured
DP04169,458,593,structured
DP04170,23,150,structured
DP04170,151,164,disordered
DP04171,60,200,disordered
DP04171,222,259,disordered
DP04172,20,103,structured
DP04172,109,184,structured
DP04172,185,362,disordered
DP04173,1,150,disordered
DP04173,151,198,structured
DP04173,199,209,disordered
DP04173,210,441,structured
DP04173,442,452,disordered
DP04173,453,485,structured
DP04173,486,503,disordered
DP04173,504,510,structured
DP04173,511,548,disordered
DP04174,1,71,disordered
DP04174,72,119,structured
DP04174,123,219,structured
DP04174,222,253,structured
DP04174,254,266,disordered
DP04174,267,463,structured
DP04174,464,483,disordered
DP04174,484,493,structured
DP04174,494,544,disordered
DP04175,1,36,disordered
DP04175,37,86,structured
DP04175,87,201,disordered
DP04175,202,376,structured
DP04175,386,406,structured
DP04175,411,413,structured
DP04175,415,441,structured
DP04175,443,484,structured
DP04175,485,506,disordered
DP04175,507,661,structured
DP04175,662,676,disordered
DP04176,1,111,structured
DP04176,112,139,disordered
DP04176,140,294,structured
DP04177,1,100,disordered
DP04178,2,179,structured
DP04178,180,321,disordered
DP04178,322,417,structured
DP04178,418,443,disordered
DP04178,444,1132,structured
DP04179,1,29,disordered
DP04179,30,248,structured
DP04179,249,264,disordered
DP04180,1,12,disordered
DP04180,13,77,structured
DP04180,78,111,disordered
DP04182,43,51,structured
DP04182,98,158,structured
DP04182,228,240,disordered
DP04182,241,260,structured
DP04182,261,314,disordered
DP04183,1,21,disordered
DP04183,22,96,structured
DP04184,38,67,disordered
DP04184,68,146,structured
DP04185,1,73,structured
DP04185,74,114,disordered
DP04186,22,55,disordered
DP04186,56,80,structured
DP04187,55,94,disordered
DP04188,69,485,structured
DP04188,486,518,disordered
DP04188,519,655,structured
DP04189,80,130,structured
DP04189,131,141,disordered
DP04189,142,204,structured
DP04189,206,262,structured
DP04189,263,273,disordered
DP04189,274,295,structured
DP04190,1,88,disordered
DP04191,1025,1090,disordered
DP04192,50,65,disordered
DP04193,38,74,disordered
DP04195,159,186,disordered
DP04195,228,272,structured
DP04196,3,56,structured
DP04196,71,151,structured
DP04196,152,177,disordered
DP04196,178,212,structured
DP04197,1,169,disordered
DP04197,243,572,disordered
DP04197,1271,1351,structured
DP04198,412,423,structured
DP04198,1013,1015,structured
DP04198,1017,1025,structured
DP04198,1028,1657,structured
DP04198,1677,1693,structured
DP04198,2321,2328,structured
DP04198,2420,2949,structured
DP04198,2950,2989,disordered
DP04199,1,178,disordered
DP04200,1,150,disordered
DP04201,1,165,disordered
DP04201,166,312,structured
DP04201,313,506,disordered
DP04201,507,731,structured
DP04202,2,85,structured
DP04202,86,100,disordered
DP04203,1,85,structured
DP04203,86,95,disordered
DP04208,1,30,disordered
DP04208,31,163,structured
DP04210,10,396,structured
DP04210,397,423,disordered
DP04211,1,154,disordered
DP04211,155,441,structured
DP04212,102,191,disordered
DP04214,1,84,structured
DP04214,85,112,disordered
DP04215,5,260,structured
DP04215,261,335,disordered
DP04216,1,138,structured
DP04216,139,255,disordered
DP04217,892,1052,disordered
DP04218,1,119,disordered
DP04218,120,153,structured
DP04219,1,27,disordered
DP04219,28,161,structured
DP04219,162,204,disordered
DP04219,205,335,structured
DP04220,380,448,disordered
DP04221,1,18,disordered
DP04225,335,385,disordered
DP04226,10,99,structured
DP04226,100,109,disordered
DP04227,219,229,disordered
DP04227,230,353,structured
DP04227,354,383,disordered
DP04228,213,231,disordered
DP04228,232,348,structured
DP04229,27,131,structured
DP04229,132,144,disordered
DP04229,145,226,structured
DP04230,39,58,disordered
DP04230,59,130,structured
DP04231,35,86,structured
DP04231,350,407,structured
DP04231,408,427,disordered
DP04232,1,10,disordered
DP04232,11,39,structured
DP04232,40,60,disordered
DP04233,10,105,structured
DP04233,106,118,disordered
DP04234,130,142,disordered
DP04234,143,209,structured
DP04234,210,220,disordered
DP04235,128,186,disordered
DP04236,1,64,structured
DP04236,65,75,disordered
DP04236,76,167,structured
DP04236,277,330,structured
DP04237,57,72,disordered
DP04237,73,135,structured
DP04239,1,302,structured
DP04239,303,334,disordered
DP04239,1334,1344,structured
DP04240,1,227,disordered
DP04240,369,397,disordered
DP04241,1,467,disordered
DP04242,1,21,disordered
DP04242,22,78,structured
DP04242,79,123,disordered
DP04242,124,177,structured
DP04242,178,191,disordered
DP04243,1,60,disordered
DP04244,1,109,disordered
DP04246,1,73,disordered
DP04246,74,150,structured
